epoch,step,train_loss_epoch,train_loss_step,val_RMSE,val_loss
0,49,,0.6855165958404541,,
0,99,,0.7513319253921509,,
0,149,,0.706241250038147,,
0,199,,0.716528058052063,,
0,249,,0.639112114906311,,
0,299,,0.779590368270874,,
0,349,,0.6519994139671326,,
0,399,,0.6876345276832581,,
0,449,,0.8007840514183044,,
0,499,,0.7196155786514282,,
0,549,,0.6965968608856201,,
0,599,,0.530195951461792,,
0,649,,0.5437427759170532,,
0,699,,0.4941653311252594,,
0,749,,0.515402615070343,,
0,799,,0.5660562515258789,,
0,849,,0.6918860673904419,,
0,899,,0.6741778254508972,,
0,949,,0.6703238487243652,,
0,999,,0.6585103273391724,,
0,1049,,0.646082878112793,,
0,1099,,0.6531233787536621,,
0,1149,,0.6146974563598633,,
0,1199,,0.8179819583892822,,
0,1249,,0.7911816835403442,,
0,1299,,0.644257664680481,,
0,1349,,0.7232626676559448,,
0,1399,,0.4522892236709595,,
0,1449,,0.5938467979431152,,
0,1499,,0.7196187376976013,,
0,1549,,0.472759485244751,,
0,1599,,0.5206373929977417,,
0,1649,,0.47601979970932007,,
0,1699,,0.4392301142215729,,
0,1749,,0.5069517493247986,,
0,1799,,0.43861496448516846,,
0,1849,,0.6712104082107544,,
0,1899,,0.5838823318481445,,
0,1949,,0.4931586682796478,,
0,1999,,0.7489094734191895,,
0,2049,,0.5201646089553833,,
0,2099,,0.4973323941230774,,
0,2149,,0.5599200129508972,,
0,2199,,0.5160689353942871,,
0,2249,,0.49525538086891174,,
0,2299,,0.5776119828224182,,
0,2349,,0.582785964012146,,
0,2380,,,4.177678108215332,1.9808051586151123
0,2380,0.6155099868774414,,,
1,2399,,0.6093819737434387,,
1,2449,,0.49707144498825073,,
1,2499,,0.6257237195968628,,
1,2549,,0.36652448773384094,,
1,2599,,0.5169926285743713,,
1,2649,,0.761473536491394,,
1,2699,,0.383861780166626,,
1,2749,,0.6985638737678528,,
1,2799,,0.5259986519813538,,
1,2849,,0.5515121221542358,,
1,2899,,0.49288737773895264,,
1,2949,,0.5045729875564575,,
1,2999,,0.6605353355407715,,
1,3049,,0.47432735562324524,,
1,3099,,0.47483038902282715,,
1,3149,,0.5810646414756775,,
1,3199,,0.44992366433143616,,
1,3249,,0.4400328993797302,,
1,3299,,0.5224101543426514,,
1,3349,,0.5049866437911987,,
1,3399,,0.4463043212890625,,
1,3449,,0.5326438546180725,,
1,3499,,0.45678257942199707,,
1,3549,,0.5647881031036377,,
1,3599,,0.49867504835128784,,
1,3649,,0.5215973258018494,,
1,3699,,0.4757722020149231,,
1,3749,,0.44401466846466064,,
1,3799,,0.4707662761211395,,
1,3849,,0.5507519245147705,,
1,3899,,0.6237151622772217,,
1,3949,,0.5937516689300537,,
1,3999,,0.504050612449646,,
1,4049,,0.48992663621902466,,
1,4099,,0.4807567298412323,,
1,4149,,0.5376231074333191,,
1,4199,,0.45541489124298096,,
1,4249,,0.43585532903671265,,
1,4299,,0.44788676500320435,,
1,4349,,0.5758317112922668,,
1,4399,,0.5564907789230347,,
1,4449,,0.38341987133026123,,
1,4499,,0.5527787208557129,,
1,4549,,0.5131950974464417,,
1,4599,,0.5707581639289856,,
1,4649,,0.5744637250900269,,
1,4699,,0.4523887634277344,,
1,4749,,0.4741913378238678,,
1,4761,,,4.110719680786133,2.2397429943084717
1,4761,0.5125288963317871,,,
2,4799,,0.5372061729431152,,
2,4849,,0.6018413305282593,,
2,4899,,0.4785110354423523,,
2,4949,,0.34186869859695435,,
2,4999,,0.3962520360946655,,
2,5049,,0.3970421552658081,,
2,5099,,0.39023557305336,,
2,5149,,0.3956508934497833,,
